site_code,cluster_id,display_point.coordinates.latitude,main_address.structured_address.postal_code,display_point.source,main_address.structured_address.country_code,business_status.closed_date,hours,apple_categories.0,names.0.name,business_status.status,main_address.structured_address.state_province,main_address.structured_address.floor,phone_number.number,names.0.locale,main_address.structured_address.locality,main_address.structured_address.street_address.0,display_point.coordinates.longitude,names.0.name_preprocessed,name.set,pair_id,product,brand
8076e824-c256-41f6-bc9d-1c1066d170cd,2158,-0.03629622,78112.0,MANUALLY_PLACED,ID,,Mo-Su 00:00-23:59,consumer_sector.financial_service.banking_service.atm,ATM BRI,OPEN,Kalimantan Barat,,,en-ID,Pontianak,Jalan P. Natakusuma,109.3178678,atm bri,"{'a', ' ', 't', 'b', 'i', 'r', 'm'}",1288,1,
9704370d-f5da-4050-a976-4aa3aad8ac57,2158,-0.0361992,78112.0,MANUALLY_PLACED,ID,,Mo-Su 00:00-23:59,consumer_sector.financial_service.banking_service.atm,ATM BNI,OPEN,Kalimantan Barat,,,en-ID,Pontianak,Jalan PNatakusuma,109.3181511,atm bni,"{'a', ' ', 't', 'n', 'b', 'i', 'm'}",1288,2,
290cb0ee-534d-48ef-beab-34e65a373d04,3719,-6.44240007,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,Ma Al Irsyad Al Islammiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman,107.9452678,ma al irsyad al islammiyyah,"{'a', ' ', 'h', 's', 'd', 'l', 'y', 'i', 'r', 'm'}",2208,ma,
ae37ed0a-dc51-43ab-84d7-ce81da26012c,3719,-6.44221535,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,MTS Al Irsyad Al Islammiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman No.239,107.945165,mts al irsyad al islammiyyah,"{'a', ' ', 'i', 'h', 't', 'd', 'l', 'y', 's', 'r', 'm'}",2208,mts,
290cb0ee-534d-48ef-beab-34e65a373d04,3719,-6.44240007,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,Ma Al Irsyad Al Islammiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman,107.9452678,ma al irsyad al islammiyyah,"{'a', ' ', 'h', 's', 'd', 'l', 'y', 'i', 'r', 'm'}",2208,ma,
884caf53-b263-47ab-981a-0368aac26c46,3719,-6.44206458,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,SMK Al Irsyad Al Islamiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman,107.9454437,smk al irsyad al islamiyyah,"{'a', ' ', 'i', 'h', 'd', 'l', 'k', 'y', 's', 'r', 'm'}",2209,smk,
ae37ed0a-dc51-43ab-84d7-ce81da26012c,3719,-6.44221535,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,MTS Al Irsyad Al Islammiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman No.239,107.945165,mts al irsyad al islammiyyah,"{'a', ' ', 'i', 'h', 't', 'd', 'l', 'y', 's', 'r', 'm'}",2208,mts,
884caf53-b263-47ab-981a-0368aac26c46,3719,-6.44206458,45266.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.secondary_school.high_school,SMK Al Irsyad Al Islamiyyah,OPEN,Jawa Barat,,,en-ID,Indramayu,Jalan Jenderal Sudirman,107.9454437,smk al irsyad al islamiyyah,"{'a', ' ', 'i', 'h', 'd', 'l', 'k', 'y', 's', 'r', 'm'}",2209,smk,
301f45c1-456d-4102-bd63-951ab810e47f,4339,-6.23746327,12950.0,MANUALLY_PLACED,ID,,,consumer_sector.financial_service.banking_service.atm,ATM BRI,OPEN,DKI Jakarta,1.0,,en-ID,Jakarta Selatan,Jalan Taman Patra Terusan,106.8291955,atm bri,"{'a', ' ', 't', 'b', 'i', 'r', 'm'}",2607,1,
79657097-7cec-4cee-bca8-4a7cc18695cb,4339,-6.23758325,12950.0,MANUALLY_PLACED,ID,,,consumer_sector.financial_service.banking_service.atm,ATM BNI,OPEN,DKI Jakarta,1.0,,en-ID,Jakarta Selatan,Jalan Taman Patra Terusan,106.8291465,atm bni,"{'a', ' ', 't', 'n', 'b', 'i', 'm'}",2607,2,
