site_code,cluster_id,display_point.coordinates.latitude,main_address.structured_address.postal_code,display_point.source,main_address.structured_address.country_code,business_status.closed_date,hours,apple_categories.0,names.0.name,business_status.status,main_address.structured_address.state_province,main_address.structured_address.floor,phone_number.number,names.0.locale,main_address.structured_address.locality,main_address.structured_address.street_address.0,display_point.coordinates.longitude,names.0.name_preprocessed,name.set,pair_id,product,brand
7692b4d6-3f72-41e5-b9da-db9f9701725e,80,-2.9577291,30159.0,MANUALLY_PLACED,ID,,,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Potri Rumah Minang,OPEN,Sumatra Selatan,,,en-ID,Alang Alang Lebar,Unnamed Road,104.6847166,potri rumah minang,"{' ', 'a', 'o', 'g', 'h', 't', 'n', 'p', 'i', 'r', 'm', 'u'}",41,,
4de33871-fa87-41cf-9ad8-68dc0061f73f,80,-2.95857578,30131.0,MANUALLY_PLACED,ID,,,dining.restaurant.asian_cuisine.southeast_asian_cuisine.indonesian_cuisine,Putri Rumar Minang,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Lebung Permai,104.6851862,putri rumar minang,"{' ', 'a', 'g', 't', 'n', 'p', 'i', 'r', 'm', 'u'}",41,,
018ce56f-cd94-434b-a395-65c41a74a71b,147,-2.93723166,30159.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Kaya Barokah,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Letjen Ibnu Sutowo,104.6901174,toko kaya barokah,"{' ', 'a', 'o', 'h', 't', 'b', 'k', 'y', 'r'}",82,,
6dfe2d06-06f6-4788-9033-5b3e087804be,147,-2.93736569,30151.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Barokah,OPEN,Sumatra Selatan,3.0,,en-ID,Palembang,Jalan Letjen Ibnu Sutowo,104.6901442,toko barokah,"{' ', 'a', 'o', 'h', 't', 'b', 'k', 'r'}",83,,
d56f84a0-935b-4486-8010-2c140b3c534f,404,-2.92706972,30157.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,health_care.hospital_service.hospital,Meira Clinic,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Pengadilan Tinggi,104.7144433,meira clinic,"{'a', ' ', 'n', 'l', 'e', 'c', 'i', 'r', 'm'}",232,,
8d4b7ca4-b0cf-4ab9-8f1c-4fdf00057ccc,404,-2.92663373,30151.0,MANUALLY_PLACED,ID,,,health_care.hospital_service.hospital,Meira Clinic,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Kolonel Haji Burlian,104.7144129,meira clinic,"{'a', ' ', 'n', 'l', 'e', 'c', 'i', 'r', 'm'}",232,,
054a1348-a4e9-4526-82cd-f7d474f8b65f,489,3.53626651,20147.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Puji,OPEN,Sumatra Utara,1.0,,en-ID,Medan,Jalan Panca,98.69710706,toko puji,"{' ', 'j', 'o', 't', 'k', 'p', 'i', 'u'}",275,,
da5939aa-a08a-47f7-889b-ce465818ce5c,489,3.53641452,20147.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,shopping.food_mart.grocery_store,Toko SRC Puji,OPEN,Sumatra Utara,,,en-ID,Medan,Jalan Panca Marindal,98.69735168,toko kelontong puji,"{' ', 'j', 'o', 'g', 't', 'n', 'l', 'k', 'e', 'p', 'i', 'u'}",276,,
05f37ec0-08b1-400d-8448-e875b342307b,538,-2.92844486,30151.0,MANUALLY_PLACED,ID,,,shopping.store.home_improvement_store.hardware_store,TB. Makmur Jaya,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Sukabangun II Soak Simpur,104.7388395,toko bangunan  makmur jaya,"{' ', 'a', 'j', 'o', 'g', 't', 'n', 'b', 'k', 'y', 'r', 'm', 'u'}",297,,
fc141928-c3b8-448f-95ce-3fce748a9935,538,-2.9284072,30151.0,MANUALLY_PLACED,ID,,,shopping.store.home_improvement_store.hardware_store,TB. Makmur Jaya,OPEN,Sumatra Selatan,1.0,,en-ID,Sukarami,Jalan Sukabangun,104.7389641,toko bangunan  makmur jaya,"{' ', 'a', 'j', 'o', 'g', 't', 'n', 'b', 'k', 'y', 'r', 'm', 'u'}",297,,
06c5c13e-8d40-437f-a639-e7ff62049f4e,620,-5.12030449,90154.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,transportation.gas_station,GP Pom Mini,OPEN,Sulawesi Selatan,1.0,,en-ID,Makassar,Jalan Sibula Dalam,119.420991,gp pom mini,"{' ', 'o', 'g', 'n', 'p', 'i', 'm'}",343,,
6cf0138c-86dc-46b1-a42d-4c8272793c02,620,-5.12034503,90154.0,MANUALLY_PLACED,ID,,Mo-Su 00:00-23:59,transportation.gas_station,Pom Mini,OPEN,Sulawesi Selatan,,,en-ID,Makassar,Jalan Sibula Dalam,119.420993,pom mini,"{' ', 'o', 'n', 'p', 'i', 'm'}",344,,
07b6f98b-f6d8-4a4b-a931-194d88fc17f3,704,-7.23146862,16963.0,MANUALLY_PLACED,ID,,,transportation.gas_station,Pom Mini,OPEN,Jawa Barat,1.0,,en-ID,Bogor Kabupaten,Jalan Raya Bojong Nangka,107.8676471,pom mini,"{' ', 'o', 'n', 'p', 'i', 'm'}",394,,
f8232e75-f9e1-45a6-8b68-a89166302c04,704,-7.2313065,44150.0,MANUALLY_PLACED,ID,,,transportation.gas_station,Pom Mini,OPEN,Jawa Barat,,,en-ID,Garut,Jalan Cikamiri,107.8679227,pom mini,"{' ', 'o', 'n', 'p', 'i', 'm'}",394,,
07da7ddd-0d6f-4c68-a9b0-5cd75f552ca1,716,-6.22687089,17520.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-21:00,shopping.food_mart.grocery_store,Toko Kelontong,OPEN,Jawa Barat,,,en-ID,Bekasi Kabupaten,Jalan Soekarno Hatta,107.0934912,toko kelontong,"{' ', 'o', 'g', 't', 'n', 'l', 'k', 'e'}",401,,
835cc55e-c95d-47ba-af7b-362700aaeb6d,716,-6.22737582,17520.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-21:00,shopping.food_mart.grocery_store,Toko Kelontong,OPEN,Jawa Barat,1.0,,en-ID,Bekasi Kabupaten,Jalan Buwek Raya,107.0933224,toko kelontong,"{' ', 'o', 'g', 't', 'n', 'l', 'k', 'e'}",402,,
08344b07-2256-43a2-bf22-2efdf986732c,749,-2.94631602,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-05:00,shopping.food_mart.grocery_store,Toko Sembako,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Haji Sanusi,104.7441262,toko sembako,"{' ', 'a', 'o', 't', 'b', 'k', 'e', 's', 'm'}",423,,
c4fc5b33-628c-4414-b1f9-78c8ff6508a2,749,-2.94569759,30151.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-05:00,shopping.food_mart.grocery_store,Toko Sembako,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Haji Sanusi,104.7440663,toko sembako,"{' ', 'a', 'o', 't', 'b', 'k', 'e', 's', 'm'}",424,,
4073deda-9715-4968-9dba-020f923c0a58,763,-2.94599289,30114.0,MANUALLY_PLACED,ID,,,transportation.vehicle_parts_store.auto_parts_store,RD Car Accessories,OPEN,Sumatra Selatan,2.0,,en-ID,Palembang,Jalan MP Mangkunegara,104.7673721,rd car accessories,"{'a', ' ', 'o', 'i', 'd', 'e', 'c', 's', 'r'}",438,,
749e3b83-5bb3-4209-8677-62f9e00b053d,763,-2.94641537,30114.0,MANUALLY_PLACED,ID,,,transportation.vehicle_parts_store.auto_parts_store,RD Car Accesories,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan MP Mangkunegara,104.7674253,rd car accesories,"{'a', ' ', 'o', 'i', 'd', 'e', 'c', 's', 'r'}",438,,
09eb98c4-97ed-416c-8b26-a3d5fbbcbc70,895,-8.08103561,66235.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-21:00,shopping.store.electronics_store,M Listrik,OPEN,Jawa Timur,1.0,,en-ID,Tulungagung,Jalan Raya Seririt-Singaraja,111.9377514,m listrik,"{' ', 'i', 't', 'l', 'k', 's', 'r', 'm'}",518,,
52ef8c5c-1a1e-4e90-8f35-b4de1b86eef6,895,-8.08110535,66291.0,MANUALLY_PLACED,ID,,,shopping.store.electronics_store,Histar Listrik,OPEN,Jawa Timur,,,en-ID,Tulungagung,Jalan Raya Wonorejo,111.9377642,histar listrik,"{'a', ' ', 'i', 'h', 't', 'l', 'k', 's', 'r'}",518,,
0caaeffb-dd39-4d00-8bc6-b0190fde48bf,1133,-6.9714758,40228.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.elementary_school,SDN Sukamenak 6,OPEN,Jawa Barat,1.0,,en-ID,Bandung Kabupaten,Jalan Sukamenak No.52,107.5774562,sdn sukamenak 6,"{' ', 'a', 'n', 'd', '6', 'k', 'e', 's', 'm', 'u'}",670,sd,
977fd7ff-d8be-4c36-818c-8c4dac8adbea,1133,-6.9715056,40228.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.elementary_school,SD Sukamenak 09,OPEN,Jawa Barat,,,en-ID,Bandung Kabupaten,Jalan Raya Sukamenak,107.5774208,sd sukamenak 09,"{' ', 'a', '9', '0', 'n', 'd', 'k', 'e', 's', 'm', 'u'}",671,sd,
977fd7ff-d8be-4c36-818c-8c4dac8adbea,1133,-6.9715056,40228.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.elementary_school,SD Sukamenak 09,OPEN,Jawa Barat,,,en-ID,Bandung Kabupaten,Jalan Raya Sukamenak,107.5774208,sd sukamenak 09,"{' ', 'a', '9', '0', 'n', 'd', 'k', 'e', 's', 'm', 'u'}",671,sd,
8e2f952f-5ce1-4b09-9bb0-f775c53bcbdd,1133,-6.97148228,40228.0,MANUALLY_PLACED,ID,,,civil_service.educational_institution.school.elementary_school,SDN Sukamenak 02,OPEN,Jawa Barat,1.0,,en-ID,Bandung Kabupaten,Jalan Sukamenak,107.5774078,sdn sukamenak 02,"{' ', 'a', '0', '2', 'n', 'd', 'k', 'e', 's', 'm', 'u'}",671,sd,
0f6a7ea1-fead-4652-be38-c98c4d618f9b,1373,0.54106861,28292.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,shopping.food_mart.grocery_store,Toko Kelontong Vyolin,OPEN,Riau,,,en-ID,Kota Pekanbaru,Jalan Pemuda Ujung,101.4126087,toko kelontong vyolin,"{' ', 'o', 'g', 't', 'n', 'l', 'v', 'k', 'e', 'y', 'i'}",811,,
50895ad5-0cf4-4ae6-82ef-0ef6c6f24779,1373,0.54099064,28292.0,MANUALLY_PLACED,ID,,,shopping.food_mart.grocery_store,Toko Vyolin,OPEN,Riau,1.0,,en-ID,Pekanbaru,Jalan Pemuda,101.41264,toko vyolin,"{' ', 'o', 't', 'n', 'l', 'v', 'k', 'y', 'i'}",812,,
1047e3a0-fd7b-4214-8c56-1520d18624ea,1449,3.54966765,20229.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,Laundry Express,OPEN,Sumatra Utara,,,en-ID,Medan,Jalan Panglima Denai,98.71525435,laundry express,"{'x', 'a', ' ', 'p', 'n', 'd', 'l', 'e', 'y', 's', 'r', 'u'}",867,,
17d4b623-4da8-4331-b9ed-accb15fea3d6,1449,3.54986759,20229.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,Nada Laundry Express,OPEN,Sumatra Utara,1.0,,en-ID,Medan,Jalan Panglima Denai,98.71524182,nada laundry express,"{'x', 'a', ' ', 'p', 'n', 'd', 'l', 'e', 'y', 's', 'r', 'u'}",868,,
11f87f3f-f79b-4597-8da4-05023e07db64,1601,-2.89622569,30155.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,Laundry Arily,OPEN,Sumatra Selatan,,,en-ID,Palembang,Jalan Amd,104.7219146,laundry arily,"{'a', ' ', 'n', 'd', 'l', 'y', 'i', 'r', 'u'}",959,,
512265d0-2b1a-4c52-ab6e-74bd9060fdd0,1601,-2.89622974,30151.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,Laundry,OPEN,Sumatra Selatan,1.0,,en-ID,Palembang,Jalan Talang Jambe,104.7219328,laundry,"{'a', 'n', 'd', 'l', 'y', 'r', 'u'}",960,,
