site_code,cluster_id,display_point.coordinates.latitude,main_address.structured_address.postal_code,display_point.source,main_address.structured_address.country_code,business_status.closed_date,hours,apple_categories.0,names.0.name,business_status.status,main_address.structured_address.state_province,main_address.structured_address.floor,phone_number.number,names.0.locale,main_address.structured_address.locality,main_address.structured_address.street_address.0,display_point.coordinates.longitude,names.0.name_preprocessed,name.set,pair_id,product,brand
2b35b219-c0ad-4a4b-8f34-937700d96d5c,2882,3.57244338,20216.0,MANUALLY_PLACED,ID,,,shopping.store.clothing_store,Beautique Zie Brand,OPEN,Sumatra Utara,,,en-ID,Kota Medan,Jalan Halat,98.69351829,beautique zie brand,"{'a', ' ', 't', 'n', 'd', 'b', 'z', 'e', 'q', 'i', 'r', 'u'}",1711,,
b0083a7a-1111-441f-8975-faff0aafbde9,2882,3.57246997,20215.0,MANUALLY_PLACED,ID,,,shopping.store.clothing_store,Zie Brand,OPEN,Sumatra Utara,,6285359926222.0,en-ID,Medan,Jalan Halat No.79B,98.69347327,zie brand,"{' ', 'a', 'n', 'd', 'z', 'b', 'e', 'i', 'r'}",1712,,
2dbad0d2-71f6-41fd-9112-36829670cc26,4136,-6.86170766,40723.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,New Laundry,OPEN,Jawa Barat,,,en-ID,Bandung Barat,Jalan Somawinata,107.5284047,new laundry,"{' ', 'a', 'w', 'n', 'd', 'l', 'e', 'y', 'r', 'u'}",2469,,
40339e42-acfc-469c-a759-a324104e93cc,4136,-6.86172062,40723.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-20:00,consumer_sector.local_service.dry_cleaning_and_laundry_service,L & R Laundry,OPEN,Jawa Barat,,6281214020506.0,en-ID,Bandung Barat,Jalan Somawinata,107.5283679,l   r laundry,"{'a', ' ', 'n', 'd', 'l', 'y', 'r', 'u'}",2470,,
de17f888-33f7-4e63-9068-e340acc458c7,4136,-6.86172528,40552.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.dry_cleaning_and_laundry_service,Laundry,OPEN,Jawa Barat,,,en-ID,Bandung Barat,Jalan Somawinata,107.5284267,laundry,"{'a', 'n', 'd', 'l', 'y', 'r', 'u'}",2469,,
40339e42-acfc-469c-a759-a324104e93cc,4136,-6.86172062,40723.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-20:00,consumer_sector.local_service.dry_cleaning_and_laundry_service,L & R Laundry,OPEN,Jawa Barat,,6281214020506.0,en-ID,Bandung Barat,Jalan Somawinata,107.5283679,l   r laundry,"{'a', ' ', 'n', 'd', 'l', 'y', 'r', 'u'}",2470,,
47d770d2-07ae-447a-a072-17bed420c06d,6471,1.28651736,151028.0,MANUALLY_PLACED,SG,,,shopping.food_mart.convenience_store,Toni Minimart,OPEN,Central Region,1.0,,en-SG,Queenstown,28 Hoy Fatt Road,103.8101449,toni minimart,"{' ', 'a', 'o', 'n', 't', 'i', 'r', 'm'}",3846,,
16fa2f3d-db76-4bb8-9e70-e32f8f5ef018,6471,1.28628886,152028.0,MANUALLY_PLACED,SG,,,shopping.food_mart.convenience_store,Minimart,OPEN,Central Region,1.0,6598522556.0,en-SG,Queenstown,Jalan Bukit Merah,103.8099005,minimart,"{'a', 'n', 't', 'i', 'r', 'm'}",3846,,
5cc097da-4adc-43f1-9e75-1f8b8b6c094a,8333,-6.93704759,40252.0,MANUALLY_PLACED,ID,,,shopping.store.home_improvement_store.hardware_store,Mukti Jaya Kusen,OPEN,Jawa Barat,,,en-ID,Bandung Kota,Jalan Bkr,107.6029171,mukti jaya kusen,"{' ', 'j', 'a', 't', 's', 'n', 'k', 'e', 'y', 'i', 'm', 'u'}",4930,,
c4d8aea6-ddca-4af4-bb60-f036a4cb4b4b,8333,-6.93679754,40243.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,shopping.store.home_improvement_store.hardware_store,Mustika Jaya Kusen,OPEN,Jawa Barat,,628122196283.0,en-ID,Bandung Kota,Jalan Otista No.626,107.6029542,mustika jaya kusen,"{'a', ' ', 'j', 'i', 't', 'n', 'k', 'e', 'y', 's', 'm', 'u'}",4930,,
5eadfe73-6d4c-46c4-8642-89e135e0c017,8510,-6.44602392,16339.0,MANUALLY_PLACED,ID,,,consumer_sector.local_service.shipping_and_mailing_service.courier_service,Indah Cargo,OPEN,Jawa Barat,,,en-ID,Bogor Kabupaten,Unnamed Road,106.7320407,indah cargo,"{'a', ' ', 'o', 'g', 'h', 'n', 'd', 'c', 'i', 'r'}",5043,,
317d199a-5e5b-4086-9df3-24694aec92b1,8510,-6.44574384,16339.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-19:00,consumer_sector.local_service.shipping_and_mailing_service.courier_service,J&T Cargo,OPEN,Jawa Barat,,62218066166.0,en-ID,Bogor Kabupaten,Jalan Parung -Bogor Blok Ci No.16A,106.7323979,j t cargo,"{'a', ' ', 'j', 'o', 'g', 't', 'c', 'r'}",5044,,
7f5304c0-ea80-4dc4-ae3e-fc578be00875,11498,-6.23533316,12180.0,MANUALLY_PLACED,ID,,,health_care.dentistry.dental_clinic.dentist,Dae Hyun Dental Clinic Pratama,OPEN,DKI Jakarta,,,en-ID,Daerah Khusus Ibukota Jakarta,Unnamed Road,106.8147114,dae hyun gigi clinic pratama,"{'a', ' ', 'p', 'g', 'h', 'n', 't', 'd', 'l', 'e', 'c', 'y', 'i', 'r', 'm', 'u'}",6725,,
cc6f23b5-9148-45d8-b4df-c0577ce99752,11498,-6.23526814,12180.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-20:00,health_care.dentistry.dental_clinic.dentist,Dental Clinic Pratama,OPEN,DKI Jakarta,,6285155048010.0,en-ID,Jakarta Selatan,Jalan Birah I,106.8147978,gigi clinic pratama,"{' ', 'a', 'g', 'n', 't', 'l', 'c', 'p', 'i', 'r', 'm'}",6725,,
9801314c-7440-41f9-9ff2-0591428d5776,13722,-4.82479311,90651.0,MANUALLY_PLACED,ID,,,shopping.store.home_goods_store.furniture_store,Toko 88 Pangkep,OPEN,Sulawesi Selatan,1.0,,en-ID,Pangkajene Dan Kepulauan,Jalan Kemakmuran,119.5457066,toko 88 pangkep,"{' ', 'a', 'o', 'g', '8', 't', 'n', 'k', 'e', 'p'}",8048,,
da14575a-b31f-48b0-9096-f2f92697a78a,13722,-4.82463918,90613.0,MANUALLY_PLACED,ID,,Mo-Su 08:00-17:00,shopping.store.home_goods_store.furniture_store,Toko 88,OPEN,Sulawesi Selatan,1.0,6281223029999.0,en-ID,Pangkajene Dan Kepulauan,Jalan Andi Mappe No.88,119.5456237,toko 88,"{' ', 'o', '8', 't', 'k'}",8049,,
